player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
rood,GLRS,0.96,172.7,0.95,69%,114.6,0.59,0.28,0.06,0.08,21%,19%
sym,TSM,0.96,217.8,0.98,69%,147.3,0.77,0.21,0.19,0.19,27%,17%
furbsa,SAD,0.96,191.0,0.97,66%,123.5,0.68,0.18,0.10,0.12,33%,21%
peace,TWIS.O,0.96,174.2,0.90,75%,117.8,0.61,0.35,0.07,0.06,36%,19%
Vera,DSG,0.96,219.4,0.99,71%,142.4,0.75,0.26,0.18,0.16,18%,10%
FireBallOps,0,0.96,186.6,1.00,68%,128.4,0.69,0.15,0.07,0.09,35%,13%
sakurai,CGZ,0.96,192.3,0.98,71%,121.4,0.70,0.31,0.11,0.10,30%,31%
Seoldam,RID,0.96,230.8,0.96,70%,141.1,0.75,0.23,0.20,0.16,20%,15%
Suka,RLF,0.96,187.6,0.92,68%,122.1,0.65,0.34,0.07,0.08,27%,14%
puffy panda,,0.96,199.4,0.91,68%,133.7,0.67,0.20,0.08,0.08,31%,10%
hieu,YDZ,0.96,223.7,0.97,67%,145.5,0.77,0.18,0.17,0.25,32%,22%
alvinboy,curs,0.96,196.3,0.94,68%,133.2,0.70,0.23,0.10,0.11,34%,13%
GaryDaSnail,Non-,0.96,182.1,0.94,67%,123.4,0.66,0.20,0.07,0.09,32%,10%
tdawgg,QOR,0.96,166.3,0.88,74%,111.1,0.56,0.44,0.05,0.06,23%,18%
theia,FLY.R,0.96,171.1,0.89,76%,112.0,0.59,0.39,0.07,0.07,24%,14%
dip,SAD,0.95,188.8,0.90,69%,125.9,0.64,0.34,0.07,0.07,24%,17%
Klamran,ROSE,0.95,188.0,0.98,68%,127.3,0.69,0.19,0.11,0.08,30%,24%
glovee,GAL,0.95,194.5,0.95,72%,124.9,0.69,0.25,0.06,0.11,26%,13%
bazz,CGZ,0.95,195.2,0.93,70%,125.9,0.69,0.38,0.10,0.13,30%,19%
Bobbert,SEN,0.95,195.2,0.89,71%,131.3,0.69,0.43,0.08,0.11,23%,8%
Petra,G2.G,0.95,180.0,1.00,73%,125.0,0.64,0.29,0.06,0.09,26%,19%
neT,M80,0.95,182.0,0.99,69%,120.6,0.65,0.16,0.09,0.09,33%,10%
superkata,NES,0.95,208.8,0.97,66%,140.6,0.74,0.15,0.19,0.21,31%,14%
Garv,RGE,0.95,189.9,0.97,70%,123.7,0.69,0.24,0.09,0.08,30%,8%
lyrical,,0.95,199.1,0.84,64%,139.1,0.67,0.26,0.10,0.13,22%,23%
margaret,SPG,0.95,187.9,0.98,68%,121.7,0.65,0.26,0.07,0.10,32%,27%
Agr0,BZK,0.95,195.7,0.89,65%,134.6,0.72,0.33,0.07,0.11,36%,19%
Sogeking,DRGN,0.94,231.9,0.96,66%,145.6,0.79,0.16,0.23,0.25,27%,6%
ExiT,Twis,0.94,184.1,0.90,68%,125.6,0.67,0.18,0.10,0.09,28%,19%
bless,YDZ.B,0.94,216.8,0.96,65%,137.3,0.80,0.21,0.17,0.19,30%,13%
Nora,MYTH,0.94,180.3,0.94,70%,119.0,0.63,0.33,0.08,0.08,31%,18%
Vefa,,0.94,186.8,0.89,72%,121.8,0.65,0.27,0.08,0.11,21%,17%
nati,LEV.GC,0.94,178.1,0.97,72%,117.4,0.66,0.23,0.06,0.05,44%,15%
Noor,TU.O,0.94,184.0,1.04,72%,128.4,0.66,0.25,0.08,0.11,32%,22%
