player,org,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_wins,max_kills,kills,deaths,assists,first_kills,first_deaths
tsägä,KNGI,227,1.11,235.2,1.07,74%,149.5,0.82,0.38,0.08,0.07,24%,11%,3/27,28,187,175,87,18,17
Kishi,FCY,363,1.11,199.6,1.02,76%,125.9,0.71,0.47,0.06,0.06,33%,17%,6/35,23,257,251,172,22,23
Kaoticcc,SaD,832,1.11,260.5,1.17,72%,167.2,0.89,0.19,0.24,0.17,26%,11%,5/46,32,741,633,159,199,142
aluvily,Sere,249,1.11,209.9,1.09,73%,139.4,0.78,0.24,0.09,0.08,34%,9%,3/33,24,194,178,59,22,21
Notexxd,LS,562,1.11,215.8,1.08,71%,145.4,0.77,0.34,0.10,0.09,34%,21%,12/58,27,434,401,192,54,51
Blahst,FCN,325,1.11,216.6,1.10,70%,145.3,0.78,0.25,0.08,0.07,28%,14%,10/70,27,252,229,80,26,24
ellie,aTTaX,499,1.11,228.3,1.18,68%,151.5,0.84,0.12,0.16,0.14,35%,18%,8/45,29,421,356,62,80,72
Bob,Blue,332,1.11,251.5,1.20,70%,162.5,0.87,0.21,0.17,0.16,26%,11%,4/36,31,290,241,70,58,52
mada,NRG,226,1.11,238.1,1.14,73%,154.0,0.81,0.21,0.22,0.16,24%,27%,4/15,25,184,161,48,50,36
cgrs,MITH,234,1.10,196.9,1.13,78%,130.9,0.69,0.32,0.06,0.07,23%,15%,4/27,23,161,142,76,15,17
ComeBack,BCF,451,1.10,244.2,1.21,70%,162.4,0.88,0.15,0.18,0.16,27%,6%,2/33,43,396,326,68,83,70
Rebo,ROSE,596,1.10,191.4,1.07,73%,120.7,0.68,0.39,0.08,0.08,22%,16%,16/99,24,403,378,233,46,47
LizA,VLNT,323,1.10,256.5,1.15,71%,163.3,0.90,0.19,0.24,0.23,28%,10%,2/20,26,290,252,61,76,73
waved,LOUD.GC,221,1.10,248.7,1.10,70%,168.2,0.83,0.19,0.20,0.15,32%,14%,1/7,26,184,167,42,44,34
ion2x,OREG,789,1.10,226.8,1.16,74%,149.2,0.81,0.27,0.11,0.08,33%,8%,5/65,25,639,550,213,88,65
DEATHMAKER,MOGO,292,1.10,204.0,1.14,72%,139.0,0.72,0.18,0.07,0.06,31%,14%,6/42,25,210,184,54,20,18
smiley,AMB,313,1.10,190.1,1.08,78%,123.1,0.67,0.44,0.08,0.06,30%,14%,4/28,25,210,194,139,26,18
Hoax,OGS,291,1.10,206.5,1.20,74%,134.3,0.76,0.34,0.04,0.07,25%,30%,13/43,23,220,184,100,13,19
Ivy,AKV.GC,209,1.10,201.4,1.10,76%,135.0,0.74,0.24,0.09,0.07,39%,9%,2/22,24,155,141,51,18,15
koalanoob,M80,586,1.10,233.9,1.16,71%,151.5,0.82,0.26,0.20,0.15,23%,19%,9/48,28,482,415,152,118,85
Techno,OGS,291,1.09,207.4,1.12,73%,134.4,0.71,0.32,0.12,0.09,29%,18%,6/33,32,208,185,94,34,26
welyy,Blue,852,1.09,193.9,1.07,73%,132.2,0.65,0.36,0.07,0.06,29%,19%,25/132,25,554,516,305,57,49
adverso,AK,448,1.09,201.6,1.06,73%,133.7,0.70,0.36,0.06,0.09,29%,19%,10/53,28,312,295,163,29,40
Jackk,MYTH,641,1.09,194.8,1.03,75%,131.1,0.69,0.37,0.05,0.07,31%,15%,14/95,21,441,430,239,35,44
Lyda,HERO,333,1.09,211.9,1.10,74%,140.6,0.76,0.26,0.12,0.08,33%,22%,7/32,29,252,230,87,41,27
Kyu,AMB,386,1.09,217.2,1.09,76%,147.2,0.73,0.35,0.08,0.07,26%,9%,4/44,22,281,258,135,31,26
BerserX,BME,406,1.09,202.4,1.12,72%,139.5,0.71,0.22,0.08,0.07,26%,6%,3/54,28,290,258,89,33,28
sacred,SaD,243,1.09,204.9,1.07,71%,131.9,0.75,0.36,0.05,0.08,32%,21%,5/24,25,183,171,88,13,19
Luj,TWIS.O,253,1.09,226.0,1.11,74%,151.4,0.79,0.19,0.08,0.06,39%,7%,2/29,23,199,179,48,21,14
jovahnii,BLIN,255,1.09,202.9,1.13,75%,133.5,0.73,0.35,0.09,0.07,24%,8%,2/24,23,186,164,88,24,17
Brofeld,CGZ,210,1.09,209.9,1.13,75%,132.3,0.79,0.21,0.10,0.06,24%,6%,2/33,24,166,147,45,22,12
